Latitude,Longitude,Name,Address,Operating_Hours,Waze
3.163504,101.656995,Subway Hartamas SC,"Lot G-22A & G-22B . Hartamas Shopping Center, 60, Jalan Sri Hartamas 1, Taman Sri Hartamas, 50480 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Monday - Sunday (10:00AM - 10:00PM),"https://waze.com/ul?ll=3.163504,101.656995"
3.105084,101.596048,Subway Paradigm Mall,"LG-33A(P), LG Floor No. 1, Jalan SS7/26A Kelana Jaya 47301 Petaling Jaya Selangor","Monday - Sunday, 10:00 AM - 10:00 PM","https://waze.com/ul?ll=3.105084,101.596048"
3.058525,101.592670,Subway Damen,"LG38, Lower Ground Floor Damen USJ 1 Jalan Persiaran Kewajipan USJ 1 47600 Subang Jaya","Monday - Sunday, 10:00 AM - 10:00 PM",https://www.waze.com/en/live-map/directions/my/selangor/subang-jaya/subway-da-men?place=ChIJ9-92ti9NzDERgRUlEJ3Y8Wc
3.149188,101.593094,Subway Tropicana Garden,"CC-K55A, Concourse Floor, No. 2A, Persiaran Surian Tropicana Indah, 47810 Petaling Jaya, Selangor",Monday - Sunday (10:00AM - 10:00PM),"https://waze.com/ul?ll=3.149188,101.593094"
3.026320,101.581147,Subway Main Place,"LG33, Main Place Mall USJ, Jalan USJ 21/10, Persiaran Kewajipan, 47630 Subang Jaya, Selangor.  ","Monday - Sunday, 10:00 AM - 10:00 PM",https://www.waze.com/en/live-map/directions/my/selangor/subang-jaya/subway?place=ChIJjb3QkzGzzTERYh-RwcOFeEY
3.161545,101.719918,Subway Intermark Mall,"The Intermark, Intermark Mall, 348, Jalan Tun Razak, 50400 Kuala Lumpur","Monday - Sunday, 10:00 AM - 10:00 PM",https://www.waze.com/en/live-map/directions/my/wilayah-persekutuan-kuala-lumpur/kuala-lumpur/subway-the-intermark?place=ChIJ48goZMU3zDERrTBFRU1gP-Mhttps://www.waze.com/en/live-map/directions/my/wilayah-persekutuan-kuala-lumpur/kuala-lumpur/subway-the-intermark?place=ChIJ48goZMU3zDERrTBFRU1gP-M
3.163051,101.706183,Subway Central Square,"23 Jalan Kampung Baru Lot GK-02 Central Square Shopping Center, 08000 Sungai Petani, Kedah","Monday - Sunday, 9:00 AM - 10:00 PM","https://www.waze.com/en/live-map/directions/subway-central-square-lot-gk-02,-central-square-shopping-center-sungai-petani?place=w.65863736.658571828.27396324"
3.074415,101.590297,Subway The Grand SS15,"G7, The Grand Subang Jaya, Jalan SS 15/8a, Ss 15, 47500 Subang Jaya, Selangor","Monday - Sunday, 8:00 AM - 10:00 PM",https://www.waze.com/en/live-map/directions/my/selangor/subang-jaya/subway-the-grand-subang-jaya?place=ChIJJxTAK6JNzDER4MbW2WX_jG0
3.101122,101.535394,Subway Radia Bukit Jelutong,"G0-23, Radia Sales Gallery, Persiaran Arked, Bukit Jelutong, 40150 Shah Alam, Selangor","Monday - Sunday, 7:30 AM - 10:00 PM",https://www.waze.com/en/live-map/directions/my/selangor/shah-alam/subway-radia-bukit-jelutong?place=ChIJ98G9H_JNzDERRS_vEqme9_s
3.100862,101.599716,Subway Kelana Jaya (KJ),"Suite 109b, Ground Floor, Office Tower, Kelana Park View, No.1, Jalan SS6/2, 47301 Petaling Jaya, Selangor","Monday - Sunday, 8:30 AM - 8:30 PM",https://www.waze.com/en/live-map/directions/my/selangor/pj/subway-kelana-jaya-or-kelana-parkview?place=ChIJRU4RwhBMzDERZ_FO9UjGJ7g
2.974426,101.655052,Subway Sierra 16 Puchong,"Lot 3A-1, Sierra Fresco, Jln Sierra 10/1, Bandar 16 Sierra, 47110 Puchong, Selangor.",Monday - Sunday (8:00AM - 10:00PM),https://www.waze.com/en/live-map/directions/my/selangor/puchong/subway16sierra?place=ChIJ4cJ0tYW1zTERx74e0tVmW9g
3.152855,101.774414,Subway Caltex Bukit Indah Ampang,"Caltex Bukit Indah, PT13887, Medan Bukit Indah, Taman Bukit Indah, 69000 Ampang, Selangor","Monday - Sunday, 8:00 AM - 10:00 PM","https://waze.com/ul?ll=3.152855,101.774414"
3.205267,101.720020,Subway Setapak Central Mall,"Kl Festival City, Lot S-23, No 67 Jalan Taman Ibu Kota, Taman Danau Kota, Setapak, Kuala Lumpur, 53200",Monday - Sunday (10:00AM - 10:00PM),"https://waze.com/ul?ll=3.205267,101.720020"
3.220409,101.622847,Subway Taman Ehsan,"No 520(GF) Jalan E3/8, Tmn Ehsan, 52100 Kepong, Selangor",Monday - Sunday (8:00AM - 10:00PM),"https://waze.com/ul?ll=3.220409,101.622847"
3.032726,101.536497,Subway Taman Sri Muda,"No 40 (GF), Jalan Murni 25/61, Taman Sri Muda, 40400 Shah Alam, Selangor",Monday - Sunday (8:00AM - 10:00PM),"https://waze.com/ul?ll=3.032726,101.536497"
3.118753,101.677459,Subway Mid Valley KL,"1st Floor, Zone 3, Kiosk FK-05, Mid Valley Megamall, Lingkaran Syed Putra, Mid Valley City, 59200 Kuala Lumpur",Monday - Sunday (8:00AM - 10:00PM),"https://waze.com/ul?ll=3.118753,101.677459"
3.143814,101.741630,Subway Lotus Ampang,"LOTUS’S AMPANG - OL1, Jalan Pandan Prima Dataran, Pandan Indah, 55100 Kuala Lumpur",Monday - Sunday (10:00AM - 10:00PM),"https://waze.com/ul?ll=3.143814,101.741630"
3.108465,101.706308,Subway Razak City,"Block B-G-19 Residensi Bandar Razak, No 01 Jln Razak Mansion, 57100 Sungai Besi, K.L",Monday - Sunday (08:00AM to 10:00PM),"https://waze.com/ul?ll=3.108465,101.706308"
3.033015,101.765206,Subway Aeon Cheras Selatan,"F60, First Floor, ÆON Cheras Selatan, Lebuh Utama Tun Hussein Onn, Tun Hussein Onn, Cheras, Selangor",Monday to Sunday (10:00AM - 10:00PM),"https://waze.com/ul?ll=3.033015,101.765206"
3.226999,101.650259,Subway Kiara Bay,"""Lot G-22, The Beat Kiara Bay Kepong Metropolitan Park,Jalan Lingkaran Tengah 52100 Kuala Lumpur.""",Monday - Sunday (10:00AM - 10:00PM),"https://waze.com/ul?ll=3.226999,101.650259"
3.120457,101.762861,Subway Putra Ampang,"No 46-G, Jalan Bunga Tanjung 9B, Taman Putra, Ampang 68000, Selangor",Monday - Sunday (08:00AM - 10:00PM),"https://waze.com/ul?ll=3.120457,101.762861"
